clinic_name,address,lat,lon
CommunityHealth (Main),"2611 W Chicago Ave, Chicago, IL 60622",41.8954079,-87.6924248
CommunityHealth at Onward House,"5413 Diversey Ave, Chicago, IL 60639",41.931158,-87.7618653
CommunityHealth at Enlace,"2759 S Harding Ave, Chicago, IL 60623",41.8407074,-87.7228823
CommunityHealth at Resurrection Project,"4600 S Wood St, Chicago, IL 60609",41.8102267,-87.6702241
Care For Friends,"530 W Fullerton Pkwy, Chicago, IL 60614",41.9256719,-87.6358513
Chicago Women's Health Center,"1025 W Sunnyside Ave, Chicago, IL 60640",41.963358,-87.6557715
Chi Care,"2711 N Halsted St, Chicago, IL 60614",41.9319375,-87.6487165
Chicago Therapy Collective,"5237 N Clark St, Chicago, IL 60640",41.9773005,-87.6681393
Hayat Free Community Clinic,"6350 N Maplewood Ave, Chicago, IL 60659",41.9973424,-87.6936452
Mercy To Mankind Clinic,"6201 N California Ave, Chicago, IL 60659",41.9942396,-87.6993025
IAMACF Free Health Clinic,"2645 W Peterson Ave, Chicago, IL 60659",41.9901807,-87.6963474
Norma Jean Sanders Free Clinic,"1049 E 46th St, Chicago, IL 60653",41.8113404,-87.6005486
Old Irving Park Community Clinic,"5425 W Addison St, Chicago, IL 60641",41.9456663,-87.7628789
The Ark,"6450 N California Ave, Chicago, IL 60645",41.9990121,-87.7000505
TAG Oral Care Center,"1040 W Randolph St, Chicago, IL 60607",41.8845125,-87.6526162
Washington Park Children's Free Health Clinic,"5350 S Prairie Ave, Chicago, IL 60615",41.796922,-87.6195845
Strength to Love Foundation,"2136 W Belmont Ave, Chicago, IL 60618",41.9397278,-87.6822391
Chicago South Side Birth Center,"8301 S South Shore Dr, Chicago, IL 60617",41.7445355,-87.5476845
