community_area,population,lon,lat,uninsured_pct,limited_english_pct,diabetes_pct,hypertension_pct,obesity_pct,dist_to_nearest_clinic_mi,nearest_clinic,est_adults_18_64,est_uninsured_adults,chronic_burden,z_uninsured_volume,z_distance,z_chronic_burden,z_language,priority_index
South Lawndale,71402,-87.714,41.839091,32.30626495234552,37.650306399715205,15.179846242,19.815571359,43.527834189,0.47,CommunityHealth at Enlace,44269.0,14302.0,26.17441726333333,1.0,0.03703703703703703,0.4306824787638771,0.7418976681447914,0.5714373736783658
Belmont Cragin,78151,-87.765502,41.927275,27.23985033317828,36.25591428254623,15.070946003,29.24014098,43.60875636,0.33,CommunityHealth at Onward House,48454.0,13199.0,29.306614447666664,0.9218672522490614,0.019753086419753086,0.5332514550897455,0.7144152399869702,0.5527646418421966
Chicago Lawn,55789,-87.695667,41.771849,24.30512361305008,28.066793309903662,18.973563692,37.379556665,50.835616908,2.96,CommunityHealth at Resurrection Project,34589.0,8407.0,35.72957908833333,0.5824183608415385,0.34444444444444444,0.7435820535161816,0.5530137761983716,0.5403184659930222
Austin,96753,-87.763117,41.894113,16.397924877903225,8.80441420648607,21.794625908,36.920544118,49.353446523,2.56,CommunityHealth at Onward House,59987.0,9837.0,36.022872183000004,0.6837146702557201,0.2950617283950618,0.7531864209020775,0.17336665732826487,0.5299783365340486
West Lawn,33543,-87.726927,41.769774,27.67686971600765,33.88448222327204,23.409774705,33.917857398,44.867164885,4.04,CommunityHealth at Resurrection Project,20797.0,5756.0,34.06493232933334,0.3946305872352483,0.4777777777777778,0.6890704426671523,0.6676760836207706,0.5057672651229402
Gage Park,39439,-87.696433,41.795429,30.85649861855188,38.63806446451518,29.628086439,35.165014801,46.462690562,1.69,CommunityHealth at Resurrection Project,24452.0,7545.0,37.085263934000004,0.52135722887299,0.18765432098765433,0.7879761956014983,0.7613656425538036,0.4985709912211724
Ashburn,41280,-87.708363,41.745756,18.200379313557573,14.90075745217395,14.923888452,39.442682204,51.36309709,4.87,CommunityHealth at Resurrection Project,25594.0,4658.0,35.243222581999994,0.3168520223843593,0.5802469135802469,0.727655505457984,0.29352103371357857,0.47569808749077247
Brighton Park,45141,-87.698859,41.817364,28.15425712679333,40.35297095639756,18.080115293,31.235730119,44.244234848,1.55,CommunityHealth at Resurrection Project,27987.0,7880.0,31.18669342,0.5450874831763123,0.1703703703703704,0.5948177500115848,0.7951651698748744,0.46762617137144047
West Pullman,25940,-87.635745,41.67382,12.60552223636485,3.7089431952418144,19.373197936,42.779286499,49.639178347,6.67,Chicago South Side Birth Center,16083.0,2027.0,37.263887594,0.13048098037826733,0.8024691358024691,0.7938255227273318,0.0729387258500702,0.45899211002252105
Mount Greenwood,18633,-87.713189,41.694876,6.918399714279698,0.9765909591441272,12.127831667,49.918267754,37.181379584,8.27,CommunityHealth at Resurrection Project,11552.0,799.0,33.075826334999995,0.043493660126089115,1.0,0.6566805312580006,0.019086102111150326,0.4506421805131508
